,song_uri,name,cluster
3,3GRSqlALWISqLeNncZMbpX,Mean It,0
8,2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,5
45,3eRUV5XlsGW72Q7hcneLpY,Senorita,1
55,2xrW6sZRmahuSAQMxO4BmJ,Rush,2
68,14KP6cmTImZmrcAC5m0Azd,Call Me Back,2
71,322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",0
87,2SPqhlmGmYCM4oU4HGCnsx,She'd Say (with Ladysmith Black Mambazo),5
90,3CAqTfkRgmImhxYDjyL6S7,I Found You,1
106,5yU3w1RzMZpSWytWAU9iyN,Autopilot,0
118,6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),1
130,2TpZlmChocrfeL5J6ed70t,Kingdom Come,3
131,7KucgC6JOASHQ0qDtKeomv,To My Future Wife...,1
152,6NVjujGb9fnl25fjzm5dTy,Freak (feat. Bonn),2
155,0HZgYFimoJG9Ijy8InUWcV,Bad Reputation (feat. Joe Janiak),5
159,0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),1
162,5ljQRsrBNTwiVCuGvpBicg,Meet Me in London,1
183,48khCAQwGoX43sPlR87Rri,Someone Else,0
200,7ahYQRrOQSXJ5OhsLnpfU8,You're Not Missing Me,5
206,5lIat5pyge2yKkV20FlgQ7,Little Do You Know,3
208,4se7Lb1MkUZWj5DhC9CCNA,Lonely (feat. MAX) - Party Pupils Remix,2
220,2kAIpGWnlFLQh48iut6Zzq,Free Spirit,1
235,69WkwzVjQS4Dc8QQtpz0qM,Nobody,2
237,5Apvsk0suoivI1H8CmBglv,Almost (Sweet Music),2
255,5ZtfujhQIVRZm2RMZPQ3iD,Only You,0
266,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,1
274,0Veyvc3n9AcLSoK3r1dA12,Voices in My Head,2
282,3mUk1wiSBpiuK4oSSyDmTQ,Uptown / Bustdown (feat. PnB Rock and Lil Durk),2
284,5h66wqaGklsSa8eSxTwcJT,4 Min Convo (Favorite Song),2
317,3EQ9QP2E7wjYQba8OSPBst,Intro,3
318,45CCe4gu08OYG1I4MH8TU6,Trauma,2
319,6pUBrvKfJL4qmn95mxU7rC,Respect the Game,5
335,0SwB9nk7EfDUnIGbz7Go9G,Rose Of Sharon,1
347,7HKSWfpxHhllSmoLk9AQz8,Adult Swim (feat. Tuamie),2
351,1eftOUoeMO1JkSQQmS6jXF,JT,4
363,4RwVpiy6oEEF8yo8jigRBq,M.A.T.A.,1
370,5cGpjfgAvidLy6znwkCxkP,Can't Be Broken,4
374,2DnH4XlEkghUdE8ymdVom5,Open Letter,0
376,0ubdf6zWT1It2saK41SkO0,Problems,1
