,song_uri,name,cluster
0,3TMUdD9vE4DoqDYi7VXStt,Fool's Gold,0
2,0CJvDUBeEL1Rmpx7MH28CQ,For You,1
3,3GRSqlALWISqLeNncZMbpX,Mean It,1
6,649o53ULWYN1y7V2OI5kgo,Heat of the Summer,3
8,2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,4
18,2kZZq09uK0oR9wwYJvgacb,Paint Me a Birmingham,5
19,5Fli1xRi01bvCjsZvKWro0,Houdini,1
22,26uHwSHlaK5mskSMhbRod3,Luckiest Man,5
23,5n0CTysih20NYdT2S0Wpe8,Trouble,8
26,2RZG69vGcBkMGZQf7JiO3v,You Are Losing Me,1
29,4P6g8wuXeR3wznFk7WnI4w,Losing Me,5
30,0lsRatBUs9HNIZAmoGABzk,Trampoline,5
31,2b8fOow8UzyDFAE27YhOZM,Memories,1
32,18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),0
34,1pyGo7knT3LE2I1FJIrwdX,Stacy,1
36,7C39RtGhnEw7cyf0Pyw7PV,Saint-Tropez,5
37,2zkhW5YaOPPaPgNWXmjTjF,Come Around,3
40,736B63TZx939yQZUXl7TMa,October,4
44,4UyAtnwhaKv7EG1BdkBYRI,Ready To Let Go,4
45,3eRUV5XlsGW72Q7hcneLpY,Senorita,5
53,2KYQ3NrpKTATXq0v1XtHoP,Easton & Main,5
54,61vlvG3pr4djrXPtHPdXII,Don't Throw Out My Legos,5
55,2xrW6sZRmahuSAQMxO4BmJ,Rush,1
56,1jYp3erCalzBtKZSgl78a9,call me your love,1
58,2zY8W4sR9Zzf7M34IZbq6n,hungover sunday,1
59,2ejzLLkEgM6Tiw6zZnUOll,head first,5
61,1spZPzBLYeVTvd0iDWXgC2,Rooting For You,16
62,0wUlGPa8He68F9TmLKdcL4,Simple & Sweet,1
63,2Wi63FW8aZbh4rNInRaXs1,Iron & Steel,5
64,4RtexJZ1OyRkDNlqVUt8Zt,Panama,1
66,4Lfm2t5ziUrBcVTfOKVipH,Love You More,1
67,59krMPfRgjLYmAkVA2gHl4,Cold Showers,0
68,14KP6cmTImZmrcAC5m0Azd,Call Me Back,1
70,4Wjhj0WjkyECccfHVIgaTq,Trust Issues,1
71,322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",1
72,7Eha3JBkA7xsMUEXng7lUP,We Gon Make It (feat. Meek Mill),8
78,2Jv5zlZ7iCZP7K1j26izha,5 Year Plan,1
79,5LWprrbySabBAMm0aE447a,Roo,4
81,67xBtV07CC73eFw7z5oCvU,Do You Remember,10
84,0cIZHBaBYJinNPzYLkv49W,Stay There,1
87,2SPqhlmGmYCM4oU4HGCnsx,She'd Say (with Ladysmith Black Mambazo),4
88,5A3fPy30SN2wuzrahpcxvV,"Don't Give Up On Me - (From ""Five Feet Apart"")",4
89,3Cn324qhZyTLKGgPeYPccP,Some Girl,5
90,3CAqTfkRgmImhxYDjyL6S7,I Found You,5
92,6beIOnfgv0HYyrHWv4AfgG,Soothsayer,1
93,3AF6JW5zzVmSkQWIKMVYqh,Stuck In Gravity,1
96,5s2coZZQHU7IN6ErpXFula,Right Where You Should Be (feat. Ashe & Louis Futon),1
99,5HlvBXlKNNorFbp43PEQ5B,Abel & Cain,1
101,1vSPbQYmKfDXPOUEz4ENf7,Matches,1
102,3a1Zmq0P1E6W80x8EOcVNP,Tough (feat. Noah Kahan),1
103,5foPGlyY3O4uSrFGhfUKGW,Werewolf (feat. Yoshi Flower),10
104,6SL7KzIA96f0HiKjuv7tED,U & Us,5
105,3vmsnZF4KPLjbDgZEqwTdL,Life Must Go On,1
106,5yU3w1RzMZpSWytWAU9iyN,Autopilot,1
108,51LIqkda3pTeECZUhMnool,Straightjacket,5
110,0oVxGuRMnawFgA8aduocfc,Forever,5
113,7wTA0NKIm6T7nP2kaymU2a,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),5
114,3pZO6GoVPeSYDxxsH6vCdj,Sunset (with J. Cole feat. Young Nudy),5
115,6n3q5ybuUQFT97ddyuxsFh,Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),1
116,03XfngWwNfhEjrnEga73Rg,"Swivel (with EARTHGANG) - From The Upcoming Album ""Mirrorland""",8
117,1OS9fNE87zO4Z696lBXriv,LamboTruck (with Cozz feat. REASON & Childish Major),5
118,6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),5
121,4M16nvTxhR9VCrfj1JMc6I,Dying Alive,5
122,6RMryEPk1eidOmUwGuMUIV,heavy snow,0
125,2ou8RbZfSnESGe9YYC7xJ4,Snow In October,1
126,0VpD9PFYIPQAW4bKiGXv8Q,Love Is Alive,1
127,0aMHIW1lqrulVCx0LLlr6a,Cocoa Butter Kisses,5
129,4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,1
130,2TpZlmChocrfeL5J6ed70t,Kingdom Come,4
131,7KucgC6JOASHQ0qDtKeomv,To My Future Wife...,5
132,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,15
134,6p9vTtbwiVHMahR5UwNI7k,Ungrateful Eyes,0
135,4haHhBncdQplfOJM0EyfEG,Spectacular Now,3
136,0pghPocTwFg6ckBUs52SQ8,Good Lord Lorrie,3
137,0XA9B3KXLmdgaQ2KcIJa3h,The Good In Me,0
138,5KSNxyuyp5K1kDT6LvX8oZ,80's Films,5
139,6dVcavGKwvUjk998frTljW,Weight Of The World,5
142,0i4Zkb6Ts5JqLJIAMNzSSl,Pre-Occupied,1
143,6CES1554HcWMIVroJfmmBm,Way It Goes,0
144,6iCJCZqDJjmBxt07Oid6FI,Buttercup,1
146,4NzZbRu1J9V5KrH2ZFs3O4,Western Kids,1
149,3hwGJn49kUbDP2gIgXHPKE,Divide,1
150,3a1DVjwshmHW9DR7pJMTaR,Find,4
151,7zGEU6BXl2c4TxpzIAr7BI,Never Leave Me (feat. Joe Janiak),1
152,6NVjujGb9fnl25fjzm5dTy,Freak (feat. Bonn),1
153,6EBlOYNcZ8MrdEov9lEdV6,Hold The Line (feat. A R I Z O N A),1
155,0HZgYFimoJG9Ijy8InUWcV,Bad Reputation (feat. Joe Janiak),4
156,0DiDStADDVh3SvAsoJAFMk,Only Human,4
157,0U9a0NZ8UQpnix2lBElFAx,Ladki Kyon,1
159,0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),5
160,6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),5
162,5ljQRsrBNTwiVCuGvpBicg,Meet Me in London,5
163,7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),1
165,1ZbAH4omZZb5KxVnHRQkAe,Giving Up Ground (feat. Quinn XCII),5
166,2ASZlR1pJ2q5UvrmgdgEgJ,You Make Me,4
169,5tlu2nA8GxkDx8UTKG1rLV,People Need A Melody,4
170,2XBAkFYQyVNnwhGQVNxQKZ,See You Through My Eyes,4
173,4PkIDTPGedm0enzdvilLNd,Sixteen,1
174,42xW9NF3D8cmflJhmFYkUF,Mer av mig,0
177,2RWFncSWZEhSRRifqiDNVV,Run To You,5
179,6XOkqE0l7midd8y5BC5yQH,Evil,1
182,4UbOwTSBizbJtTFqrBUGdM,Hell,15
183,48khCAQwGoX43sPlR87Rri,Someone Else,1
186,5tVmNtMvCCABF6u2IyLLjX,Next Up Forever,1
187,3bjLCKsBNSFyx6Gfsb7X4h,love ride,1
189,392snxgncTS2SKFgz64Lj3,Finale (Can't Wait To See What You Do Next),1
190,3VygfAvvgVaJUeaBUSzlZu,Karma,16
191,3HYgLawcb8IUGHHlHUQffN,The Entertainment's Here,1
193,7hBRNyuEkGR4qj5nTDGTry,Birthday Party,4
194,3TgPhPv7z0D4pQhH8iKmDW,The Reason,4
200,7ahYQRrOQSXJ5OhsLnpfU8,You're Not Missing Me,4
201,0uPBYnoltG0oiZ2bOTy7iI,Winse,1
202,6iRTYLWbxXtUz00KQIWiTN,By Myself,5
203,24zfbM3UORHzHmoMfaB5uM,Alive,5
204,2RPkGBuwcjJIgSYMJgOTD2,Forest Fire,1
206,5lIat5pyge2yKkV20FlgQ7,Little Do You Know,4
207,1De8FIr9KBPm5owb0tmRKv,Something Different,1
208,4se7Lb1MkUZWj5DhC9CCNA,Lonely (feat. MAX) - Party Pupils Remix,1
210,3sTN90bIP2cJ1783ctHykO,Love$ick (feat. A$AP Rocky),1
211,0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),4
213,6nDKrPlXdpomGBgAlO7UdP,SOS,1
214,5N8rlaknKdZKyXCZKl3rQK,Har Ghoont Mein Swag,1
215,6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),5
218,1WqLtczgKdbHFHhefOU0y7,Self,5
219,1NgCWYuBLfqBDA3b8MgSVU,Twenty One,1
220,2kAIpGWnlFLQh48iut6Zzq,Free Spirit,5
221,0HEckRWFSknIupbGzavk5d,Hundred,0
222,5BfMJ6iytQnu1r7iiCYSXe,Intro,4
224,5u9GhIkVEUe6ATuvzxZC3e,Coldhearted,1
229,72jGj8k9C7DIQesDYenUT3,Burnin' Up,4
230,6MjNilJCVKJq0LfFvo5jWJ,Fast,4
231,3i78lP1Y35m6Idgnbw9Fow,Infinity,4
232,2pwnEzgIzYL4AOw4ousjkB,Let the Games Begin,5
233,37zuIvk4KBkAxxLJsxJaHq,Would That I,5
234,5tCtCqWcXBf7eoIunSxlO8,Dinner & Diatribes,4
235,69WkwzVjQS4Dc8QQtpz0qM,Nobody,1
236,4byXh93siQtzKLdjKuJaAF,No Plan,3
237,5Apvsk0suoivI1H8CmBglv,Almost (Sweet Music),1
238,4y3OI86AEP6PQoDE6olYhO,Sucker,5
241,5FAPJX7F7M5IBYwNrUIo7G,Game Plan (feat. Jon Bellion),1
244,0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,15
245,1Fo4OvzP9PThFKMeMIAEYu,Superhero,5
247,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,1
249,0uFehR61JaZQmGKhztycR5,Bitter Pill,5
250,6FRQf2Epe15kLCDXQGUbBb,Always,5
251,2VBNlb28YDWwa0F2sJvcoa,Hard To Do,8
252,11kDth1aKUEUMq9r1pqyds,5% TINT,5
253,4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,5
255,5ZtfujhQIVRZm2RMZPQ3iD,Only You,1
260,5lRN4uMnqIpVAgWsopF6at,Saturday Nights REMIX,1
261,7e4KQkp5ZR1gXCAalRjX6B,Nights Like This (feat. Ty Dolla $ign),15
262,6pRkwu4Pt9d7Ki6g4ppOYj,Webbie (feat. Duke),8
264,6zdO7yfGMdFzEaSYDaZgNf,Woke Up in Nashville,8
266,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,5
267,7pnKWdgCxALV6FiGCsKYk2,Start It Over (feat. CVBZ & Shy Martin),1
268,60ecHoeQ4PHbubW7Gjdvcw,Hunger,5
269,6BFxwgQOv5RZvQngoaQ1ur,Human,5
270,4nnHOJqInr9r8c7RxuiT9j,Crystals,5
271,5JkUNbYSn06ghlmu0NRUMf,Lose You Too,15
272,25YvGDl2zSE0pH8jrMZ6aY,Therapy,1
273,2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,4
274,0Veyvc3n9AcLSoK3r1dA12,Voices in My Head,1
275,18yllZD0TdF7ykcREib8Z1,I Did It,1
276,1Gno5IBUHh6vUKp4nxu2Yd,Love Drugs and Sex,0
277,2A4vCndSkZ3jd5nfh3a8gc,Skeezers,5
279,3UhRsQVrELOATEiY7E9X2T,Come Closer (feat. Queen Naija),5
280,02CQH5capUYovYSiSiwKgX,Bosses and Workers (feat. Don Q and Trap Manny),5
281,3TwzcgoO6mbgX3E7Bn1RAy,The Reaper,15
282,3mUk1wiSBpiuK4oSSyDmTQ,Uptown / Bustdown (feat. PnB Rock and Lil Durk),1
283,0OAyZn9pGuuL2FJih1PM58,Billie Jean,5
284,5h66wqaGklsSa8eSxTwcJT,4 Min Convo (Favorite Song),1
286,6X7qcg95CAeJpTjtg1wooM,&burn (with Vince Staples),1
290,1ni8ZTAY1GHXEFOGHl7fdg,bellyache,1
292,6KdA9pz4KS4avq0CUqblAV,If I Gotta Go,5
294,2BJpuAoDeQ1QuPvnryfAWK,No Promises,15
295,74d9QhneUCIUvO00ev5kyX,Just a Little Longer,4
298,4OsBjrJQbPSMAqdjLBaGOt,Home,5
300,1I9GllIh1R3EMvTFT5Tfn7,Fair-Weather Friend,5
301,2k9N4caeCIJLOWwWwssrEM,Easily,0
304,1BGIZCaDu29MK8DsykL7Hb,Not Today,4
306,6qVwzCWDC6Kiatl7v2it7D,7 Days,3
307,7eXT7U3FKrOM88xr1DsNwc,Trust My Lonely,5
309,6Dw696uOB5aKDyLzUJREBr,All We Know,5
310,0YBChynpAc8Sji0I067rzT,Comfortable,1
312,0JjJGeUbFqCRe4nKNVCAz9,Girl Next Door,4
313,2extUHGb7pATAetKTWP0yH,My Kind,5
315,5DSEsH11oe6IyStmZ8o0NT,Growing Pains (Reprise),1
316,3woRy7uxzl1lO2XO99oHsN,The Man Who Has Everything,8
317,3EQ9QP2E7wjYQba8OSPBst,Intro,4
318,45CCe4gu08OYG1I4MH8TU6,Trauma,1
319,6pUBrvKfJL4qmn95mxU7rC,Respect the Game,4
321,3gHLXLJ9JE1oOayo3ar4E5,100 Summers,1
322,3lb5fWSG2p7x8ik8HN9oFR,Dangerous (feat. Jeremih and PnB Rock),4
324,4yVEpUXxYgBwfSOKGTFxv5,REEL IT IN (feat. Gucci Mane) - Remix,5
329,63J2iqaDDp92P1eZgvuELp,Guiding Light,1
335,0SwB9nk7EfDUnIGbz7Go9G,Rose Of Sharon,5
338,0kCXl1osqLn1lPQGSyB9d8,If I Say,4
342,5p7ujcrUXASCNwRaWNHR1C,Without Me,5
343,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,16
347,7HKSWfpxHhllSmoLk9AQz8,Adult Swim (feat. Tuamie),1
348,4FUDWkguOUVpLRAVn5C20z,Blu,5
349,359Q4gGdrQIFhRzs7J8gZu,The Internet,0
350,7cK7hDrE7vAesPf8xd5zmb,Stupid Deep,5
351,1eftOUoeMO1JkSQQmS6jXF,JT,4
352,1EAZ0APxPiVuzDb7R5TfVI,Conversations with my Wife,5
354,27P4XoNXXEV4lTc3sB61RK,Up To Something (feat. Travis Scott & Young Thug),4
355,0qpG0PjZCCNsbVon8llTGt,The Fear,5
356,5QdeLP1eyBTlOmzGXuzwWq,Pray For The Drip (feat. Offset),5
357,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),10
361,5bgwqaRSS3M8WHWruHgSL5,8TEEN,4
362,1N0VXvVxSoMp66StV03Opo,Discussion,5
363,4RwVpiy6oEEF8yo8jigRBq,M.A.T.A.,5
364,2ULvsEVdvPbXERrl3mGEE8,firefly,1
367,2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),5
368,0Y7di9ZCmB6Elad5WISaPc,Dedicate,21
370,5cGpjfgAvidLy6znwkCxkP,Can't Be Broken,4
372,0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),21
373,3JX0dOCIAiaR8MP3ryXWuM,What About Me (feat. Sosamann),0
374,2DnH4XlEkghUdE8ymdVom5,Open Letter,1
376,0ubdf6zWT1It2saK41SkO0,Problems,5
377,2AwyHlbA6f641SEkizD5JG,Dope Niggaz (feat. Snoop Dogg),1
378,5s6pKnF3ZPtuqvEx1i1V7U,Hittas,5
380,7EgI0dCaQuHFe3OTj5EpWI,Open Safe,4
381,6y4pOReFqH2wzo4CV91cZC,Mess,15
383,3BUWNzPWz2mDbptZmGEXpB,Let It All Work Out,5
390,0CBQ0m3mufWH75LTYB3s6h,Let It Fly (feat. Travis Scott),4
391,23n7KwXOXC9giXTz5Q71NH,Human,1
392,5ZrrXIYTvjXPKVQMjqaumR,Loud Pipes,1
395,15kQGEy89K8deJcZVFEn0N,This Feeling (feat. Kelsea Ballerini),4
396,6jKVU3e0gnQLj3iifJBvVN,Loyal,5
399,06Vthiq8nNDuT5nOcch535,Sincerity Is Scary,4
404,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,1
408,1AVu7Kc2MRrLfOG1RCEf07,Aura,1
409,0yjdEwkPYbhCXN6uCedpVu,Flying Kites,15
415,18vVJsD68uh386vlZWwO3d,Worldwide,10
416,6mWDwN58PgiPiDXkfSfB4J,Somebody,1
417,5WvAo7DNuPRmk4APhdPzi8,No Brainer,5
