,song_uri,name,cluster
0,3TMUdD9vE4DoqDYi7VXStt,Fool's Gold,8
1,3TKpJrY9q49Mj1JOsM9zGL,Family,82
2,0CJvDUBeEL1Rmpx7MH28CQ,For You,11
3,3GRSqlALWISqLeNncZMbpX,Mean It,1
4,1yTTMcUhL7rtz08Dsgb7Qb,The Bones - with Hozier,65
5,6UjZ2Yx2g2a52XxiA8ONxZ,Outnumbered,83
6,649o53ULWYN1y7V2OI5kgo,Heat of the Summer,31
8,2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,9
12,76vp13w23FlAZaIqELW2UG,"What They Make Backroads For (HARDY feat. Tracy Lawrence, Jake Owen)",55
23,5n0CTysih20NYdT2S0Wpe8,Trouble,43
26,2RZG69vGcBkMGZQf7JiO3v,You Are Losing Me,18
30,0lsRatBUs9HNIZAmoGABzk,Trampoline,6
31,2b8fOow8UzyDFAE27YhOZM,Memories,25
32,18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),53
34,1pyGo7knT3LE2I1FJIrwdX,Stacy,11
36,7C39RtGhnEw7cyf0Pyw7PV,Saint-Tropez,48
37,2zkhW5YaOPPaPgNWXmjTjF,Come Around,65
38,06s1TISabJ5Kk1gaE8i9GJ,Whatever USA,63
40,736B63TZx939yQZUXl7TMa,October,36
44,4UyAtnwhaKv7EG1BdkBYRI,Ready To Let Go,2
45,3eRUV5XlsGW72Q7hcneLpY,Senorita,20
51,5ZhvIEpk5yURoZ6xAQzNZM,Always Been You,63
54,61vlvG3pr4djrXPtHPdXII,Don't Throw Out My Legos,15
55,2xrW6sZRmahuSAQMxO4BmJ,Rush,13
56,1jYp3erCalzBtKZSgl78a9,call me your love,1
59,2ejzLLkEgM6Tiw6zZnUOll,head first,6
61,1spZPzBLYeVTvd0iDWXgC2,Rooting For You,55
62,0wUlGPa8He68F9TmLKdcL4,Simple & Sweet,47
63,2Wi63FW8aZbh4rNInRaXs1,Iron & Steel,49
64,4RtexJZ1OyRkDNlqVUt8Zt,Panama,34
66,4Lfm2t5ziUrBcVTfOKVipH,Love You More,12
67,59krMPfRgjLYmAkVA2gHl4,Cold Showers,8
68,14KP6cmTImZmrcAC5m0Azd,Call Me Back,13
70,4Wjhj0WjkyECccfHVIgaTq,Trust Issues,25
71,322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",1
72,7Eha3JBkA7xsMUEXng7lUP,We Gon Make It (feat. Meek Mill),43
