danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_uri,name,mode_major,mode_minor
0.68,0.729,7,-5.097,0.0418,0.367,0.0,0.159,0.83,120.029,4,3TMUdD9vE4DoqDYi7VXStt,Fool's Gold,1,0
0.584,0.607,11,-6.605,0.0356,0.426,0.0,0.101,0.374,117.817,4,3TKpJrY9q49Mj1JOsM9zGL,Family,1,0
0.703,0.643,7,-5.544,0.0706,0.192,0.0,0.143,0.528,102.059,4,0CJvDUBeEL1Rmpx7MH28CQ,For You,1,0
0.746,0.45,7,-8.543,0.0872,0.0407,0.0,0.172,0.336,95.998,4,3GRSqlALWISqLeNncZMbpX,Mean It,1,0
0.561,0.597,11,-6.0,0.0405,0.286,0.0,0.0979,0.355,76.826,4,1yTTMcUhL7rtz08Dsgb7Qb,The Bones - with Hozier,0,1
0.614,0.684,0,-5.79,0.157,0.247,0.0,0.0976,0.258,156.85,4,6UjZ2Yx2g2a52XxiA8ONxZ,Outnumbered,1,0
0.602,0.856,7,-5.558,0.0458,0.00515,2.97e-06,0.098,0.895,80.021,4,649o53ULWYN1y7V2OI5kgo,Heat of the Summer,1,0
0.61,0.489,10,-8.541,0.127,0.308,0.0,0.165,0.331,105.016,4,03ARE7xKtbCVV2GE5j0IWq,Make Us Never Happen,0,1
0.584,0.643,2,-6.415,0.0395,0.288,0.0,0.186,0.53,90.036,4,2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,1,0
0.78,0.261,2,-9.626,0.0488,0.332,0.0,0.238,0.639,92.107,4,78rFhTXf81WtRS7Ubl2f4V,Lucky,1,0
0.696,0.729,1,-3.779,0.0485,0.046,0.0,0.178,0.555,173.954,4,7gNRYLOwgmzMEpgXARSnX9,Leave Me (feat. Marc E. Bassy),0,1
0.225,0.212,10,-13.908,0.0326,0.851,0.0047,0.113,0.248,143.844,4,65ds47DOh963oroiiBChZ9,"Sunshine on My Shoulders - ""Greatest Hits"" Version",1,0
0.576,0.786,4,-6.562,0.0351,0.0645,0.00236,0.14,0.961,154.01,4,76vp13w23FlAZaIqELW2UG,"What They Make Backroads For (HARDY feat. Tracy Lawrence, Jake Owen)",1,0
0.406,0.188,7,-13.039,0.0324,0.852,0.0,0.105,0.629,120.757,4,3D8dwH690MXQRhtIZTSS9c,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",1,0
0.345,0.227,4,-12.433,0.0281,0.727,3.98e-05,0.0902,0.311,100.579,3,2r8MLH3Zwro67ElDDqth1r,"Starwood In Aspen - ""Greatest Hits"" Version",1,0
0.304,0.305,2,-10.879,0.0298,0.871,0.00368,0.367,0.464,146.066,3,4J0DbyODwZJcmIAiTSJfMF,Annie's Song,1,0
0.388,0.338,10,-10.054,0.0328,0.652,3.72e-06,0.248,0.477,177.784,4,2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,1,0
0.516,0.433,0,-8.881,0.0292,0.768,0.0,0.724,0.463,154.755,4,7E5UxJ0cGdN2cKlzNBobaY,Whitehouse Road (Live),1,0
0.519,0.52,6,-4.547,0.03,0.0757,0.0,0.166,0.281,129.862,4,2kZZq09uK0oR9wwYJvgacb,Paint Me a Birmingham,1,0
0.632,0.908,8,-3.511,0.0458,0.00762,0.000172,0.167,0.764,110.024,4,5Fli1xRi01bvCjsZvKWro0,Houdini,1,0
0.543,0.925,6,-6.783,0.0448,0.392,0.456,0.0668,0.594,80.499,1,1bqrRn1pJWowNLA5N9L6uW,Meet Me in the Woods,0,1
0.579,0.267,4,-15.11,0.0348,0.118,0.000562,0.132,0.353,74.899,4,2T5Ch09nefwckOu5NQvjIk,Carolina in My Mind,1,0
0.571,0.281,5,-10.56,0.0475,0.74,0.0,0.163,0.294,142.263,4,26uHwSHlaK5mskSMhbRod3,Luckiest Man,1,0
0.47,0.623,0,-5.655,0.0302,0.392,0.000453,0.0992,0.298,77.861,4,5n0CTysih20NYdT2S0Wpe8,Trouble,1,0
0.606,0.262,2,-15.588,0.0669,0.739,0.0,0.239,0.418,111.453,4,0KZej3Y54GEMBmlc6MTHGy,Wild Montana Skies,1,0
0.598,0.427,7,-8.764,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0,1
0.577,0.43,7,-9.764,0.0714,0.224,2.53e-05,0.135,0.346,99.982,4,2RZG69vGcBkMGZQf7JiO3v,You Are Losing Me,1,0
0.362,0.421,7,-8.824,0.0437,0.39,0.0,0.0971,0.356,64.763,4,3s5NrHgyTkuinl0TgHCHeK,Hurricane,1,0
0.425,0.273,11,-10.712,0.0355,0.745,0.0,0.093,0.365,137.994,4,3X01VeoR0GckfiXlFRrJmF,Home,0,1
0.66,0.449,7,-6.573,0.0442,0.209,0.0,0.111,0.237,133.984,4,4P6g8wuXeR3wznFk7WnI4w,Losing Me,1,0
0.689,0.412,7,-7.523,0.0301,0.488,0.00016,0.0659,0.537,126.754,4,0lsRatBUs9HNIZAmoGABzk,Trampoline,0,1
